項次,熱點類別,熱點名稱,郵遞區號,縣市名稱,鄉鎮市區,地址,熱點類別_英語,熱點名稱_英語,縣市名稱_英語,鄉鎮市區_英語,地址_英語
850,其他,全家便利商店南區南屯路崇倫店(公話),402,臺中市,南區,臺中市南區南屯路一段273號,Others,"Family Mart convenience store, Sec. 1, Nantun Rd., South Dist., Taichung City ",Taichung City,South District,"No.273, Sec. 1, Nantun Rd., South Dist., Taichung City 402, Taiwan (R.O.C.)"
851,其他,統一超商南區南平路南美店(公話),402,臺中市,南區,臺中市南區南平路182號,Others,"7-Eleven convenience store, Nanping Rd., South Dist., Taichung City",Taichung City,South District,"No.182, Nanping Rd., South Dist., Taichung City 402, Taiwan (R.O.C.)"
852,其他,統一超商南區建成路聯信店(公話),402,臺中市,南區,臺中市南區建成路1107號,Others,"7-Eleven convenience store, Jiancheng Rd., South Dist., Taichung City",Taichung City,South District,"No.1107, Jiancheng Rd., South Dist., Taichung City 402, Taiwan (R.O.C.)"
853,其他,全家便利商店北區一中街一中街店(公話),404,臺中市,北區,臺中市北區一中街129號,Others,"Family Mart convenience store, Yizhong St., North Dist., Taichung City",Taichung City,North District,"No.129, Yizhong St., North Dist., Taichung City 404, Taiwan (R.O.C.)"
854,其他,全家便利商店南區建國北路新高橋店(公話),402,臺中市,南區,臺中市南區建國北路一段250號,Others,"Family Mart convenience store, Sec. 1, Jianguo N. Rd., South Dist., Taichung City",Taichung City,South District,"No.250, Sec. 1, Jianguo N. Rd., South Dist., Taichung City 402, Taiwan (R.O.C.)"
855,其他,全家便利商店南區美村南路帝國店(公話),402,臺中市,南區,臺中市南區美村南路153號,Others,"Family Mart convenience store, Meicun S. Rd., South Dist., Taichung City ",Taichung City,South District,"No.153, Meicun S. Rd., South Dist., Taichung City 402, Taiwan (R.O.C.)"
856,其他,全家便利商店南區美村路柳川店(公話),402,臺中市,南區,臺中市南區美村路二段16號,Others,"Family Mart convenience store, Sec. 2, Meicun Rd., South Dist., Taichung City  ",Taichung City,South District,"No.16, Sec. 2, Meicun Rd., South Dist., Taichung City 402, Taiwan (R.O.C.)"
857,其他,統一超商南區美村路百祐店(公話),402,臺中市,南區,臺中市南區美村路二段190號,Others,"7-Eleven convenience store, Sec. 2, Meicun Rd., South Dist., Taichung City",Taichung City,South District,"No.190, Sec. 2, Meicun Rd., South Dist., Taichung City 402, Taiwan (R.O.C.)"
858,其他,統一超商南區高工路高工店(公話),402,臺中市,南區,臺中市南區高工路170號,Others,"7-Eleven convenience store, Gaogong Rd., South Dist., Taichung City",Taichung City,South District,"No.170, Gaogong Rd., South Dist., Taichung City 402, Taiwan (R.O.C.)"
859,其他,統一超商南區高工路台火店(公話),402,臺中市,南區,臺中市南區高工路355號,Others,"7-Eleven convenience store, Gaogong Rd., South Dist., Taichung City",Taichung City,South District,"No.355, Gaogong Rd., South Dist., Taichung City 402, Taiwan (R.O.C.)"
860,其他,全家便利商店南區高工路高工店(公話),402,臺中市,南區,臺中市南區高工路96號,Others,"Family Mart convenience store, Gaogong Rd., South Dist., Taichung City  ",Taichung City,South District,"No.96, Gaogong Rd., South Dist., Taichung City 402, Taiwan (R.O.C.)"
861,其他,統一超商南區國光路興大店(公話),402,臺中市,南區,臺中市南區國光路301號,Others,"7-Eleven convenience store, Guoguang Rd., South Dist., Taichung City",Taichung City,South District,"No.301, Guoguang Rd., South Dist., Taichung City 402, Taiwan (R.O.C.)"
862,其他,統一超商南區國光路新國光店(公話),402,臺中市,南區,臺中市南區國光路82號,Others,"7-Eleven convenience store, Guoguang Rd., South Dist., Taichung City",Taichung City,South District,"No.82, Guoguang Rd., South Dist., Taichung City 402, Taiwan (R.O.C.)"
863,其他,統一超商南區復興路大東家店(公話),402,臺中市,南區,臺中市南區復興路3段140號,Others,"7-Eleven convenience store, Sec. 3, Fuxing Rd., South Dist., Taichung City",Taichung City,South District,"No.140, Sec. 3, Fuxing Rd., South Dist., Taichung City 402, Taiwan (R.O.C.)"
864,其他,統一超商南區復興路義興店(公話),402,臺中市,南區,臺中市南區復興路一段128號,Others,"7-Eleven convenience store, Sec. 1, Fuxing Rd., South Dist., Taichung City",Taichung City,South District,"No.128, Sec. 1, Fuxing Rd., South Dist., Taichung City 402, Taiwan (R.O.C.)"
865,其他,萊爾富便利商店南區復興路樹仔腳店(公話),402,臺中市,南區,臺中市南區復興路一段33號,Others,"Hi-Life convenience store, Sec. 1, Fuxing Rd., South Dist., Taichung City",Taichung City,South District,"No. 33, Sec. 1, Fuxing Rd., South Dist., Taichung City 402, Taiwan (R.O.C.)"
866,其他,全家便利商店南區復興路興美店(公話),402,臺中市,南區,臺中市南區復興路二段99巷18號,Others,"Family Mart convenience store, Sec. 2, Fuxing Rd., South Dist., Taichung City",Taichung City,South District,"No.18, Ln. 99, Sec. 2, Fuxing Rd., South Dist., Taichung City 402, Taiwan (R.O.C.)"
867,其他,統一超商南區復興路民主門市(公話),402,臺中市,南區,臺中市南區復興路三段326號,Others,"7-Eleven convenience store, Sec. 3, Fuxing Rd., South Dist., Taichung City",Taichung City,South District,"No.326, Sec. 3, Fuxing Rd., South Dist., Taichung City 402, Taiwan (R.O.C.)"
868,其他,全家便利商店南區福田路福田店(公話),402,臺中市,南區,臺中市南區福田路15號,Others,"Family Mart convenience store, Futian Rd., South Dist., Taichung City",Taichung City,South District,"No.15, Futian Rd., South Dist., Taichung City 402, Taiwan (R.O.C.)"
869,其他,統一超商南區德富路無尾熊店(公話),402,臺中市,南區,臺中市南區德富路73號,Others,"7-Eleven convenience store, Defu Rd., South Dist., Taichung City",Taichung City,South District,"No.73, Defu Rd., South Dist., Taichung City 402, Taiwan (R.O.C.)"
870,其他,全家便利商店南區學府路金和店(公話),402,臺中市,南區,臺中市南區學府路123號,Others,"Family Mart convenience store, Xuefu Rd., South Dist., Taichung City",Taichung City,South District,"No.123, Xuefu Rd., South Dist., Taichung City 402, Taiwan (R.O.C.)"
871,其他,全家便利商店南區學府路新學府店(公話),402,臺中市,南區,臺中市南區學府路168巷2號,Others,"Family Mart convenience store, Xuefu Rd., South Dist., Taichung City ",Taichung City,South District,"No.2, Ln. 168, Xuefu Rd., South Dist., Taichung City 402, Taiwan (R.O.C.)"
872,其他,全家便利商店南區學府路興大店(公話),402,臺中市,南區,臺中市南區學府路51號,Others,"Family Mart convenience store, Xuefu Rd., South Dist., Taichung City ",Taichung City,South District,"No.51, Xuefu Rd., South Dist., Taichung City 402, Taiwan (R.O.C.)"
873,其他,統一超商南區學府路興學店(公話),402,臺中市,南區,臺中市南區學府路64號,Others,"7-Eleven convenience store, Xuefu Rd., South Dist., Taichung City",Taichung City,South District,"No.64, Xuefu Rd., South Dist., Taichung City 402, Taiwan (R.O.C.)"
874,其他,統一超商南區學府路新學和店(公話),402,臺中市,南區,臺中市南區學府路70號,Others,"7-Eleven convenience store, Xuefu Rd., South Dist., Taichung City",Taichung City,South District,"No.70, Xuefu Rd., South Dist., Taichung City 402, Taiwan (R.O.C.)"
875,其他,OK超商樹義六巷樹義店(公話),402,臺中市,南區,臺中市南區樹義六巷3號之2,Others,"OK mart convenience store, Shuyi 6th Ln., South Dist., Taichung City",Taichung City,South District,"No.3-2, Shuyi 6th Ln., South Dist., Taichung City 402, Taiwan (R.O.C.)"
876,其他,統一超商南區興大路商頂橋店(公話),402,臺中市,南區,臺中市南區興大路340號,Others,"7-Eleven convenience store, Xingda Rd., South Dist., Taichung City",Taichung City,South District,"No.340, Xingda Rd., South Dist., Taichung City 402, Taiwan (R.O.C.)"
877,其他,全家便利商店烏日三民街三民店(公話),414,臺中市,烏日區,臺中市烏日區三民街142號,Others,"Family Mart convenience store, Sanmin St., Wuri Dist., Taichung City",Taichung City,Wuri District,"No.142, Sanmin St., Wuri Dist., Taichung City 414, Taiwan (R.O.C.)"
878,其他,全家便利商店烏日中山路成功店(公話),414,臺中市,烏日區,臺中市烏日區中山路3段242號公話,Others,"Family Mart convenience store, Sec. 3, Zhongshan Rd., Wuri Dist., Taichung City",Taichung City,Wuri District,"No.242, Sec. 3, Zhongshan Rd., Wuri Dist., Taichung City 414, Taiwan (R.O.C.)"
879,其他,統一超商南屯向上南路熊貓店(公話),408,臺中市,南屯區,臺中市南屯區向上南路1段325號,Others,"7-Eleven convenience store, Sec. 1, Xiangshang S. Rd., Nantun Dist., Wuri Dist., Taichung City",Taichung City,Nantun District,"No. 325, Sec. 1, Xiangshang S. Rd., Nantun Dist., Taichung City 408, Taiwan (R.O.C.)"
880,其他,統一超商烏日中山路鼎好店(公話),414,臺中市,烏日區,臺中市烏日區中山路二段289號1樓,Others,"7-Eleven convenience store, Sec. 2, Zhongshan Rd., Wuri Dist., Taichung City",Taichung City,Wuri District,"1F., No.289, Sec. 2, Zhongshan Rd., Wuri Dist., Taichung City 414, Taiwan (R.O.C.)"
881,其他,統一超商烏日中山路榮泉店(公話),414,臺中市,烏日區,臺中市烏日區中山路三段1007號,Others,"7-Eleven convenience store, Sec. 3, Zhongshan Rd., Wuri Dist., Taichung City",Taichung City,Wuri District,"No.1007, Sec. 3, Zhongshan Rd., Wuri Dist., Taichung City 414, Taiwan (R.O.C.)"
882,其他,OK超商烏日中山路成功店(公話),414,臺中市,烏日區,臺中市烏日區中山路三段500號,Others,"OK mart convenience store, Sec. 3, Zhongshan Rd., Wuri Dist., Taichung City",Taichung City,Wuri District,"No.500, Sec. 3, Zhongshan Rd., Wuri Dist., Taichung City 414, Taiwan (R.O.C.)"
883,其他,統一超商烏日中華路九德店(公話),414,臺中市,烏日區,臺中市烏日區中華路45號,Others,"7-Eleven convenience store, Zhonghua Rd., Wuri Dist., Taichung City",Taichung City,Wuri District,"No.45, Zhonghua Rd., Wuri Dist., Taichung City 414, Taiwan (R.O.C.)"
884,其他,全家便利商店烏日五光路金鴿店(公話),414,臺中市,烏日區,臺中市烏日區五光路95號之3,Others,"Family Mart convenience store, Wuguang Rd., Wuri Dist., Taichung City",Taichung City,Wuri District,"No.95-3, Wuguang Rd., Wuri Dist., Taichung City 414, Taiwan (R.O.C.)"
885,其他,全家便利商店烏日公園路日光日店(公話),414,臺中市,烏日區,臺中市烏日區公園路306號,Others,"Family Mart convenience store, Gongyuan Rd., Wuri Dist., Taichung City",Taichung City,Wuri District,"No.306, Gongyuan Rd., Wuri Dist., Taichung City 414, Taiwan (R.O.C.)"
886,其他,全家便利商店東區東光園路東園店(公話),401,臺中市,東區,臺中市東區東光園路536號,Others,"Family Mart convenience store, No. 536, Dongguangyuan Rd., East Dist., Taichung City",Taichung City,East District,"No. 536, Dongguangyuan Rd., East Dist., Taichung City 401, Taiwan (R.O.C.)"
887,其他,全家便利商店烏日信義街新明道店(公話),414,臺中市,烏日區,臺中市烏日區信義街157號,Others,"Family Mart convenience store, No.157, Xinyi St., Wuri Dist., Taichung City",Taichung City,Wuri District,"No.157, Xinyi St., Wuri Dist., Taichung City 414, Taiwan (R.O.C.)"
888,其他,統一超商台中烏日信義街162號(公話),414,臺中市,烏日區,臺中市烏日區信義街162號,Others,"7-Eleven convenience store, Xinyi St., Wuri Dist., Taichung City",Taichung City,Wuri District,"No.162, Xinyi St., Wuri Dist., Taichung City 414, Taiwan (R.O.C.)"
889,其他,統一超商烏日新興路烏日店((公話),414,臺中市,烏日區,臺中市烏日區新興路247號,Others,"7-Eleven convenience store, Xinxing Rd., Wuri Dist., Taichung City",Taichung City,Wuri District,"No.247, Xinxing Rd., Wuri Dist., Taichung City 414, Taiwan (R.O.C.)"
890,其他,統一超商烏日溪南路東園店(公話),414,臺中市,烏日區,臺中市烏日區溪南路一段375號,Others,"7-Eleven convenience store, Sec. 1, Xinan Rd., Wuri Dist., Taichung City",Taichung City,Wuri District,"No.375, Sec. 1, Xinan Rd., Wuri Dist., Taichung City 414, Taiwan (R.O.C.)"
891,其他,全家便利商店烏日溪南路新溪南店(公話),414,臺中市,烏日區,臺中市烏日區溪南路一段659號,Others,"Family Mart convenience store, Sec. 1, Xinan Rd., Wuri Dist., Taichung City ",Taichung City,Wuri District,"No.659, Sec. 1, Xinan Rd., Wuri Dist., Taichung City 414, Taiwan (R.O.C.)"
892,其他,統一超商烏日溪南路喀哩店(公話),414,臺中市,烏日區,臺中市烏日區溪南路二段380號,Others,"7-Eleven convenience store, Sec. 2, Xinan Rd., Wuri Dist., Taichung City ",Taichung City,Wuri District,"No.380, Sec. 2, Xinan Rd., Wuri Dist., Taichung City 414, Taiwan (R.O.C.)"
893,其他,全家便利商店烏日學田路成嶺店(公話),414,臺中市,烏日區,臺中市烏日區學田路719號,Others,"Family Mart convenience store, Xuetian Rd., Wuri Dist., Taichung",Taichung City,Wuri District,"No.719, Xuetian Rd., Wuri Dist., Taichung City 414, Taiwan (R.O.C.)"
894,其他,全家便利商店神岡大漢街大漢店(公話),429,臺中市,神岡區,臺中市神岡區大漢街72號,Others,"Family Mart convenience store, Dahan St., Shengang Dist., Taichung City",Taichung City,Shengang District,"No.72, Dahan St., Shengang Dist., Taichung City 429, Taiwan (R.O.C.)"
895,其他,全家便利商店神岡中山路工業店(公話),429,臺中市,神岡區,臺中市神岡區中山路1120號之2,Others,"Family Mart convenience store, Zhongshan Rd., Shengang Dist., Taichung City",Taichung City,Shengang District,"No.1120-2, Zhongshan Rd., Shengang Dist., Taichung City 429, Taiwan (R.O.C.)"
896,其他,統一超商大雅神林路綠點店(公話),428,臺中市,大雅區,臺中市大雅區神林路1段300號,Others,"7-Eleven convenience store, No.300, Sec. 1, Shenlin Rd., Daya Dist., Taichung City",Taichung City,Daya District,"No.300, Sec. 1, Shenlin Rd., Daya Dist., Taichung City 428, Taiwan (R.O.C.)"
897,其他,統一超商神岡中山路倍沅店(公話),429,臺中市,神岡區,臺中市神岡區中山路473號1樓,Others,"7-Eleven convenience store, Zhongshan Rd., Shengang Dist., Taichung City",Taichung City,Shengang District,"1F.,No.473, Zhongshan Rd., Shengang Dist., Taichung City 429, Taiwan (R.O.C.)"
898,其他,全家便利商店神岡中山路陞灃店(公話),429,臺中市,神岡區,臺中市神岡區中山路517號,Others,"Family Mart convenience store, Zhongshan Rd., Shengang Dist., Taichung City",Taichung City,Shengang District,"No.517, Zhongshan Rd., Shengang Dist., Taichung City 429, Taiwan (R.O.C.)"
899,其他,統一超商神岡中正路神寶店(公話),429,臺中市,神岡區,臺中市神岡區中正路100號,Others,"7-Eleven convenience store, Zhongzheng Rd., Shengang Dist., Taichung City",Taichung City,Shengang District,"No.100, Zhongzheng Rd., Shengang Dist., Taichung City 429, Taiwan (R.O.C.)"
900,其他,統一超商神岡承德路栗豐店(公話),429,臺中市,神岡區,臺中市神岡區承德路219號,Others,"7-Eleven convenience store, Chengde Rd., Shengang Dist., Taichung City",Taichung City,Shengang District,"No.219, Chengde Rd., Shengang Dist., Taichung City 429, Taiwan (R.O.C.)"
901,其他,全家便利商店神岡昌平路新社口店(公話),429,臺中市,神岡區,臺中市神岡區昌平路5段289號,Others,"Family Mart convenience store, Sec. 5, Changping Rd., Shengang Dist., Taichung City ",Taichung City,Shengang District,"No.289, Sec. 5, Changping Rd., Shengang Dist., Taichung City 429, Taiwan (R.O.C.)"
902,其他,統一超商神岡豐洲路奇晉店(公話),429,臺中市,神岡區,臺中市神岡區豐洲路469號,Others,"7-Eleven convenience store, Fengzhou Rd., Shengang Dist., Taichung City",Taichung City,Shengang District,"No.469, Fengzhou Rd., Shengang Dist., Taichung City 429, Taiwan (R.O.C.)"
903,其他,統一超商梧棲大智路詠德店(公話),435,臺中市,梧棲區,臺中市梧棲區大智路二段385號,Others,"7-Eleven convenience store, Sec. 2, Dazhi Rd., Wuqi Dist., Taichung City",Taichung City,Wuqi District,"No.385, Sec. 2, Dazhi Rd., Wuqi Dist., Taichung City 435, Taiwan (R.O.C.)"
904,其他,全家便利商店梧棲中和街中和店(公話),435,臺中市,梧棲區,臺中市梧棲區中和街1號,Others,"Family Mart convenience store, Zhonghe St., Wuqi Dist., Taichung City",Taichung City,Wuqi District,"No.1, Zhonghe St., Wuqi Dist., Taichung City 435, Taiwan (R.O.C.)"
905,其他,全家便利商店大肚遊園路台蔗店(公話),432,臺中市,大肚區,臺中市大肚區遊園路二段2號,Others,"Family Mart convenience store, Wenhua St., Wuqi Dist., Taichung City ",Taichung City,Dadu District,"No.1, Ln. 194, Wenhua St., Wuqi Dist., Taichung City 435, Taiwan (R.O.C.)"
906,其他,統一超商梧棲四維路大維店(公話),435,臺中市,梧棲區,臺中市梧棲區四維路73號,Others,"7-Eleven convenience store, Siwei Rd., Wuqi Dist., Taichung City",Taichung City,Wuqi District,"No.73, Siwei Rd., Wuqi Dist., Taichung City 435, Taiwan (R.O.C.)"
907,其他,全家便利商店梧棲民生街正港店(公話),435,臺中市,梧棲區,臺中市梧棲區民生街61號,Others,"Family Mart convenience store, Minsheng St., Wuqi Dist., Taichung City",Taichung City,Wuqi District,"No.61, Minsheng St., Wuqi Dist., Taichung City 435, Taiwan (R.O.C.)"
908,其他,統一超商梧棲文化路港區店(公話),435,臺中市,梧棲區,臺中市梧棲區文化路二段55號,Others,"7-Eleven convenience store, Sec. 2, Wenhua Rd., Wuqi Dist., Taichung City",Taichung City,Wuqi District,"No. 55, Sec. 2, Wenhua Rd., Wuqi Dist., Taichung City 435, Taiwan (R.O.C.)"
909,其他,全家便利商店梧棲港埠路港埠店(公話),435,臺中市,梧棲區,臺中市梧棲區港埠路2段17號,Others,"Family Mart convenience store, Sec. 2, Gangbu Rd., Wuqi Dist., Taichung City",Taichung City,Wuqi District,"No.17, Sec. 2, Gangbu Rd., Wuqi Dist., Taichung City 435, Taiwan (R.O.C.)"
910,其他,全家便利商店梧棲臺灣大道大庄店(公話),435,臺中市,梧棲區,臺中市梧棲區臺灣大道八段506號,Others,"Family Mart convenience store, Sec. 8, Taiwan Blvd., Wuqi Dist., Taichung City ",Taichung City,Wuqi District,"No.506, Sec. 8, Taiwan Blvd., Wuqi Dist., Taichung City 435, Taiwan (R.O.C.)"
911,其他,全家便利商店清水中山路中山店(公話),436,臺中市,清水區,臺中市清水區中山路110號,Others,"Family Mart convenience store, Zhongshan Rd., Qingshui Dist., Taichung City ",Taichung City,Qingshui District,"No.110, Zhongshan Rd., Qingshui Dist., Taichung City 436, Taiwan (R.O.C.)"
912,其他,全家便利商店清水中正街榮玉店(公話),436,臺中市,清水區,臺中市清水區中正街79號,Others,"Family Mart convenience store, Zhongzheng St., Qingshui Dist., Taichung City",Taichung City,Qingshui District,"No.79, Zhongzheng St., Qingshui Dist., Taichung City 436, Taiwan (R.O.C.)"
913,其他,統一超商清水文昌街昌興店(公話),436,臺中市,清水區,臺中市清水區文昌街12號之1,Others,"7-Eleven convenience store, Wenchang St., Qingshui Dist., Taichung City",Taichung City,Qingshui District,"No.12-1, Wenchang St., Qingshui Dist., Taichung City 436, Taiwan (R.O.C.)"
914,其他,全家便利商店清水高美路好美店(公話),436,臺中市,清水區,臺中市清水區高美路308號,Others,"Family Mart convenience store, Gaomei Rd., Qingshui Dist., Taichung City",Taichung City,Qingshui District,"No.308, Gaomei Rd., Qingshui Dist., Taichung City 436, Taiwan (R.O.C.)"
915,其他,全家便利商店清水高美路高美店(公話),436,臺中市,清水區,臺中市清水區高美路560號,Others,"Family Mart convenience store, Gaomei Rd., Qingshui Dist., Taichung City ",Taichung City,Qingshui District,"No.560, Gaomei Rd., Qingshui Dist., Taichung City 436, Taiwan (R.O.C.)"
916,其他,全家便利商店清水新興路米糕店(公話),436,臺中市,清水區,臺中市清水區新興路119號,Others,"Family Mart convenience store, Xinxing Rd., Qingshui Dist., Taichung City",Taichung City,Qingshui District,"No.119, Xinxing Rd., Qingshui Dist., Taichung City 436, Taiwan (R.O.C.)"
917,其他,統一超商新社中和街社和店(公話),426,臺中市,新社區,臺中市新社區中和街五段115號,Others,"7-Eleven convenience store, Sec. 5, Zhonghe St., Xinshe Dist., Taichung City",Taichung City,Xinshe District,"No.115, Sec. 5, Zhonghe St., Xinshe Dist., Taichung City 426, Taiwan (R.O.C.)"
918,其他,統一超商新社東山街永源村店(公話),426,臺中市,新社區,臺中市新社區東山街88號之29,Others,"7-Eleven convenience store, Dongshan St., Xinshe Dist., Taichung City",Taichung City,Xinshe District,"No. 88-2, Dongshan St., Xinshe Dist., Taichung City 426, Taiwan (R.O.C.)"
919,其他,全家便利商店新社東新路新中和店(公話),426,臺中市,新社區,臺中市新社區東新路2段35號,Others,"Family Mart convenience store, Sec. 2, Dongxin Rd., Xinshe Dist., Taichung City ",Taichung City,Xinshe District,"No.35, Sec. 2, Dongxin Rd., Xinshe Dist., Taichung City 426, Taiwan (R.O.C.)"
920,其他,統一超商新社興社街新社店(公話),426,臺中市,新社區,臺中市新社區興社街四段27號之1,Others,"7-Eleven convenience store, Sec. 4, Xingshe St., Xinshe Dist., Taichung City",Taichung City,Xinshe District,"No.27-1, Sec. 4, Xingshe St., Xinshe Dist., Taichung City 426, Taiwan (R.O.C.)"
921,其他,統一超商潭子雅潭路潭秀店(公話),427,臺中市,潭子區,臺中市潭子區雅潭路一段60號,Others,"Family Mart convenience store, Sec. 1, Dafu Rd., Tanzi Dist., Taichung City ",Taichung City,Tanzi District,"No.11, Sec. 1, Dafu Rd., Tanzi Dist., Taichung City 427, Taiwan (R.O.C.)"
922,其他,全家便利商店潭子大豐路大豐店(公話),427,臺中市,潭子區,臺中市潭子區大豐路3段136號,Others,"Family Mart convenience store, Sec. 3, Dafeng Rd., Tanzi Dist., Taichung City",Taichung City,Tanzi District,"No.136, Sec. 3, Dafeng Rd., Tanzi Dist., Taichung City 427, Taiwan (R.O.C.)"
923,其他,全家便利商店潭子金圓通店(公話),427,臺中市,潭子區,臺中市潭子區圓通南路143號,Others,"Family Mart convenience store, Yuantong S. Rd., Tanzi Dist., Taichung City",Taichung City,Tanzi District,"No.143, Yuantong S. Rd., Tanzi Dist., Taichung City 427, Taiwan (R.O.C.)"
924,其他,統一超商潭子大豐路矽品店(公話),427,臺中市,潭子區,臺中市潭子區大豐路三段190號,Others,"7-Eleven convenience store, Sec. 3, Dafeng Rd., Tanzi Dist., Taichung City",Taichung City,Tanzi District,"No.190, Sec. 3, Dafeng Rd., Tanzi Dist., Taichung City 427, Taiwan (R.O.C.)"
925,其他,統一超商潭子中山路潭富店(公話),427,臺中市,潭子區,臺中市潭子區中山路2段585號之1,Others,"7-Eleven convenience store, Sec. 2, Zhongshan Rd., Tanzi Dist., Taichung City",Taichung City,Tanzi District,"No.585-1, Sec. 2, Zhongshan Rd., Tanzi Dist., Taichung City 427, Taiwan (R.O.C.)"
926,其他,統一超商潭子仁愛路潭北店(公話),427,臺中市,潭子區,臺中市潭子區仁愛路三段15號,Others,"7-Eleven convenience store, Sec. 3, Ren’ai Rd., Tanzi Dist., Taichung City ",Taichung City,Tanzi District,"No.15, Sec. 3, Ren’ai Rd., Tanzi Dist., Taichung City 427, Taiwan (R.O.C.)"
927,其他,統一超商潭子光陽路潭欣店(公話),427,臺中市,潭子區,臺中市潭子區光陽路142號,Others,"7-Eleven convenience store, Guangyang Rd., Tanzi Dist., Taichung City",Taichung City,Tanzi District,"No.142, Guangyang Rd., Tanzi Dist., Taichung City 427, Taiwan (R.O.C.)"
928,其他,統一超商潭子昌平路東寶店(公話),427,臺中市,潭子區,臺中市潭子區昌平路3段152號,Others,"7-Eleven convenience store, Sec. 3, Changping Rd., Tanzi Dist., Taichung City",Taichung City,Tanzi District,"No.152, Sec. 3, Changping Rd., Tanzi Dist., Taichung City 427, Taiwan (R.O.C.)"
929,其他,統一超商潭子崇德路潭德店(公話),427,臺中市,潭子區,臺中市潭子區崇德路五段489號,Others,"7-Eleven convenience store, Sec. 5, Chongde Rd., Tanzi Dist., Taichung City",Taichung City,Tanzi District,"No.489, Sec. 5, Chongde Rd., Tanzi Dist., Taichung City 427, Taiwan (R.O.C.)"
930,其他,統一超商潭子崇德路潭豐店(公話),427,臺中市,潭子區,臺中市潭子區崇德路四段250號之1,Others,"7-Eleven convenience store, Sec. 4, Chongde Rd., Tanzi Dist., Taichung City",Taichung City,Tanzi District,"No.250-1, Sec. 4, Chongde Rd., Tanzi Dist., Taichung City 427, Taiwan (R.O.C.)"
931,其他,統一超商潭子祥和路栗林店(公話),427,臺中市,潭子區,臺中市潭子區祥和路171號,Others,"7-Eleven convenience store, Xianghe Rd., Tanzi Dist., Taichung City",Taichung City,Tanzi District,"No.171, Xianghe Rd., Tanzi Dist., Taichung City 427, Taiwan (R.O.C.)"
932,其他,全家便利商店潭子祥和路祥和店(公話),427,臺中市,潭子區,臺中市潭子區祥和路62號,Others,"Family Mart convenience store, Xianghe Rd., Tanzi Dist., Taichung City",Taichung City,Tanzi District,"No.62, Xianghe Rd., Tanzi Dist., Taichung City 427, Taiwan (R.O.C.)"
933,其他,統一超商潭子勝利路潭勝店(公話),427,臺中市,潭子區,臺中市潭子區勝利路101號,Others,"7-Eleven convenience store, Shengli Rd., Tanzi Dist., Taichung City",Taichung City,Tanzi District,"No.101, Shengli Rd., Tanzi Dist., Taichung City 427, Taiwan (R.O.C.)"
934,其他,全家便利商店潭子勝利路甘蔗店(公話),427,臺中市,潭子區,臺中市潭子區勝利路289號,Others,"Family Mart convenience store, Shengli Rd., Tanzi Dist., Taichung City ",Taichung City,Tanzi District,"No.289, Shengli Rd., Tanzi Dist., Taichung City 427, Taiwan (R.O.C.)"
935,其他,全家便利商店潭子復興路真興店(公話),427,臺中市,潭子區,臺中市潭子區復興路1段12號,Others,"Family Mart convenience store, Sec. 1, Fuxing Rd., Tanzi Dist., Taichung City",Taichung City,Tanzi District,"No.12, Sec. 1, Fuxing Rd., Tanzi Dist., Taichung City 427, Taiwan (R.O.C.)"
936,其他,全家便利商店潭子雅豐街摘星店(公話),427,臺中市,潭子區,臺中市潭子區雅豐街323號,Others,"Family Mart convenience store, Yafeng St., Tanzi Dist., Taichung City",Taichung City,Tanzi District,"No.323, Yafeng St., Tanzi Dist., Taichung City 427, Taiwan (R.O.C.)"
937,其他,全家便利商店潭子雅豐街大茂店(公話),427,臺中市,潭子區,臺中市潭子區雅豐街78號,Others,"Family Mart convenience store,Yafeng St., Tanzi Dist., Taichung City",Taichung City,Tanzi District,"No.78, Yafeng St., Tanzi Dist., Taichung City 427, Taiwan (R.O.C.)"
938,其他,統一超商潭子圓通南路圓通南店(公話),427,臺中市,潭子區,臺中市潭子區圓通南路239號,Others,"7-Eleven convenience store,Yuantong S. Rd., Tanzi Dist., Taichung City",Taichung City,Tanzi District,"No.239, Yuantong S. Rd., Tanzi Dist., Taichung City 427, Taiwan (R.O.C.)"
939,其他,統一超商潭子圓通南路潭陽店(公話),427,臺中市,潭子區,臺中市潭子區圓通南路2號,Others,"7-Eleven convenience store,Yuantong S. Rd., Tanzi Dist., Taichung City",Taichung City,Tanzi District,"No.2, Yuantong S. Rd., Tanzi Dist., Taichung City 427, Taiwan (R.O.C.)"
940,其他,統一超商潭子榮興街潭榮店(公話),427,臺中市,潭子區,臺中市潭子區榮興街19號,Others,"7-Eleven convenience store,Yuantong S. Rd., Tanzi Dist., Taichung City",Taichung City,Tanzi District,"No.19, Rongxing St., Tanzi Dist., Taichung City 427, Taiwan (R.O.C.)"
941,其他,全家便利商店潭子榮興街榮興店(公話),427,臺中市,潭子區,臺中市潭子區榮興街57巷1號,Others,"Family Mart convenience store, Ln. 57, Rongxing St., Tanzi Dist., Taichung City",Taichung City,Tanzi District,"No.1, Ln. 57, Rongxing St., Tanzi Dist., Taichung City 427, Taiwan (R.O.C.)"
